id,name,lat,long,coolingType,coolingPlace,wikiLink,asnLink,edfLink
BELLEVILLE,Belleville,47.5063,2.875,RIVER,Loire,https://fr.wikipedia.org/wiki/Centrale_nucl%C3%A9aire_de_Belleville,https://www.asn.fr/L-ASN/L-ASN-en-region/Centre-Val-de-Loire/Installations-nucleaires/Centrale-nucleaire-de-Belleville-sur-Loire,https://www.edf.fr/centrale-nucleaire-belleville
BLAYAIS,Blayais,45.2527,-0.6908,RIVER,Gironde,https://fr.wikipedia.org/wiki/Centrale_nucl%C3%A9aire_du_Blayais,https://www.asn.fr/L-ASN/L-ASN-en-region/Nouvelle-Aquitaine/Installations-nucleaires/Centrale-nucleaire-du-Blayais,https://www.edf.fr/centrale-nucleaire-blayais
BUGEY,Bugey,45.7948,5.2709,RIVER,Rhône,https://fr.wikipedia.org/wiki/Centrale_nucl%C3%A9aire_du_Bugey,https://www.asn.fr/tout-sur-l-asn/l-asn-en-region/auvergne-rhone-alpes/centrale-nucleaire-du-bugey,https://www.edf.fr/centrale-nucleaire-bugey
CATTENOM,Cattenom,49.4125,6.2181,RIVER,Moselle,https://fr.wikipedia.org/wiki/Centrale_nucl%C3%A9aire_de_Cattenom,https://www.asn.fr/L-ASN/L-ASN-en-region/Grand-Est/Installations-nucleaires/Centrale-nucleaire-de-Cattenom,https://www.edf.fr/centrale-nucleaire-cattenom
CHINON,Chinon B,47.2273,0.1703,RIVER,Loire,https://fr.wikipedia.org/wiki/Centrale_nucl%C3%A9aire_de_Chinon,https://www.asn.fr/L-ASN/L-ASN-en-region/Centre-Val-de-Loire/Installations-nucleaires/Centrale-nucleaire-de-Chinon-B,https://www.edf.fr/centrale-nucleaire-chinon
CHOOZ,Chooz B,50.0868,4.7906,RIVER,Meuse,https://fr.wikipedia.org/wiki/Centrale_nucl%C3%A9aire_de_Chooz,https://www.asn.fr/L-ASN/L-ASN-en-region/Grand-Est/Installations-nucleaires/Centrale-nucleaire-de-Chooz-B,https://www.edf.fr/centrale-nucleaire-chooz
CIVAUX,Civaux,46.4532,0.6528,RIVER,Vienne,https://fr.wikipedia.org/wiki/Centrale_nucl%C3%A9aire_de_Civaux,https://www.asn.fr/L-ASN/L-ASN-en-region/Nouvelle-Aquitaine/Installations-nucleaires/Centrale-nucleaire-de-Civaux,https://www.edf.fr/centrale-nucleaire-civaux
CRUAS,Cruas,44.6296,4.7567,RIVER,Rhône,https://fr.wikipedia.org/wiki/Centrale_nucl%C3%A9aire_de_Cruas,https://www.asn.fr/tout-sur-l-asn/l-asn-en-region/auvergne-rhone-alpes/centrale-nucleaire-de-cruas-meysse,https://www.edf.fr/centrale-nucleaire-cruas-meysse
DAMPIERRE,Dampierre,47.7297,2.5167,RIVER,Loire,https://fr.wikipedia.org/wiki/Centrale_nucl%C3%A9aire_de_Dampierre,https://www.asn.fr/L-ASN/L-ASN-en-region/Centre-Val-de-Loire/Installations-nucleaires/Centrale-nucleaire-de-Dampierre-en-Burly,https://www.edf.fr/centrale-nucleaire-dampierre
FESSENHEIM,Fessenheim,47.8998,7.5631,RIVER,Rhin,https://fr.wikipedia.org/wiki/Centrale_nucl%C3%A9aire_de_Fessenheim,https://www.asn.fr/L-ASN/L-ASN-en-region/Grand-Est/Installations-nucleaires/Centrale-nucleaire-de-Fessenheim,https://www.edf.fr/centrale-nucleaire-fessenheim
FLAMANVILLE,Flamanville,49.5331,-1.8818,SEA,Manche,https://fr.wikipedia.org/wiki/Centrale_nucl%C3%A9aire_de_Flamanville,https://www.asn.fr/L-ASN/L-ASN-en-region/Normandie/Installations-nucleaires/Centrale-nucleaire-de-Flamanville,https://www.edf.fr/centrale-nucleaire-flamanville
GOLFECH,Golfech,44.1031,0.8453,RIVER,Garonne,https://fr.wikipedia.org/wiki/Centrale_nucl%C3%A9aire_de_Golfech,https://www.asn.fr/L-ASN/L-ASN-en-region/Occitanie/Installations-nucleaires/Centrale-nucleaire-de-Golfech,https://www.edf.fr/centrale-nucleaire-golfech
GRAVELINES,Gravelines,51.0113,2.135,SEA,Mer du Nord,https://fr.wikipedia.org/wiki/Centrale_nucl%C3%A9aire_de_Gravelines,https://www.asn.fr/L-ASN/L-ASN-en-region/Hauts-de-France/Installations-nucleaires/Centrale-nucleaire-de-Gravelines,https://www.edf.fr/centrale-nucleaire-gravelines
NOGENT,Nogent,48.5119,3.5179,RIVER,Seine,https://fr.wikipedia.org/wiki/Centrale_nucl%C3%A9aire_de_Nogent,https://www.asn.fr/L-ASN/L-ASN-en-region/Grand-Est/Installations-nucleaires/Centrale-nucleaire-de-Nogent-sur-Seine,https://www.edf.fr/centrale-nucleaire-nogent-sur-seine
PALUEL,Paluel,49.8546,0.6353,SEA,Manche,https://fr.wikipedia.org/wiki/Centrale_nucl%C3%A9aire_de_Paluel,https://www.asn.fr/L-ASN/L-ASN-en-region/Normandie/Installations-nucleaires/Centrale-nucleaire-de-Paluel,https://www.edf.fr/centrale-nucleaire-paluel
PENLY,Penly,49.9729,1.2119,SEA,Manche,https://fr.wikipedia.org/wiki/Centrale_nucl%C3%A9aire_de_Penly,https://www.asn.fr/L-ASN/L-ASN-en-region/Normandie/Installations-nucleaires/Centrale-nucleaire-de-Penly,https://www.edf.fr/centrale-nucleaire-penly
ST_ALBAN,Saint-Alban,45.401,4.7554,RIVER,Rhône,https://fr.wikipedia.org/wiki/Centrale_nucl%C3%A9aire_de_Saint-Alban,https://www.asn.fr/tout-sur-l-asn/l-asn-en-region/auvergne-rhone-alpes/centrale-nucleaire-de-saint-alban,https://www.edf.fr/centrale-nucleaire-saint-alban
ST_LAURENT,Saint-Laurent,47.7206,1.5836,RIVER,Loire,https://fr.wikipedia.org/wiki/Centrale_nucl%C3%A9aire_de_Saint-Laurent,https://www.asn.fr/L-ASN/L-ASN-en-region/Centre-Val-de-Loire/Installations-nucleaires/Centrale-nucleaire-de-Saint-Laurent-des-Eaux,https://www.edf.fr/centrale-nucleaire-saint-laurent-des-eaux
TRICASTIN,Tricastin,44.3274,4.7315,RIVER,Rhône,https://fr.wikipedia.org/wiki/Centrale_nucl%C3%A9aire_du_Tricastin,https://www.asn.fr/tout-sur-l-asn/l-asn-en-region/auvergne-rhone-alpes/centrale-nucleaire-du-tricastin,https://www.edf.fr/centrale-nucleaire-tricastin
