name,eicCode,plantId,reactorIndex,stage,thermalPower_MW,rawPower_MW,netPower_MW,buildStartDate,firstReactionDate,gridLinkDate,exploitationStartDate,moxAuthorizationDate,coolingTowerCount
Belleville-1,17W100P100P0090I,BELLEVILLE,1,P'4,3817,1363,1310,01/05/1980,09/09/1987,14/10/1987,01/01/1988,,1
Belleville-2,17W100P100P0091G,BELLEVILLE,2,P'4,3817,1363,1310,01/08/1980,25/05/1988,06/06/1988,01/01/1989,,1
Blayais-1,17W100P100P0092E,BLAYAIS,1,CP1,2785,951,910,01/01/1977,20/05/1981,12/06/1981,01/12/1981,02/09/1997,0
Blayais-2,17W100P100P0093C,BLAYAIS,2,CP1,2785,951,910,01/01/1977,28/06/1982,17/07/1982,01/02/1983,25/05/1994,0
Blayais-3,17W100P100P0094A,BLAYAIS,3,CP1,2785,951,910,01/04/1978,29/07/1983,17/08/1983,14/11/1983,28/05/2013,0
Blayais-4,17W100P100P00958,BLAYAIS,4,CP1,2785,951,910,01/04/1978,01/05/1983,16/05/1983,01/10/1983,28/05/2013,0
Bugey-2,17W100P100P00966,BUGEY,2,CP0,2785,945,910,01/11/1972,20/04/1978,10/05/1978,01/03/1979,,0
Bugey-3,17W100P100P00974,BUGEY,3,CP0,2785,945,910,01/09/1973,31/08/1978,21/09/1978,01/03/1979,,0
Bugey-4,17W100P100P00982,BUGEY,4,CP0,2785,917,880,01/06/1974,17/02/1979,08/03/1979,01/07/1979,,2
Bugey-5,17W100P100P01004,BUGEY,5,CP0,2785,917,880,01/07/1974,15/07/1979,31/07/1979,03/01/1980,,2
Cattenom-1,17W100P100P01012,CATTENOM,1,P'4,3817,1362,1300,29/10/1979,24/10/1986,13/11/1986,01/04/1987,,1
Cattenom-2,17W100P100P0103Z,CATTENOM,2,P'4,3817,1362,1300,28/07/1980,07/08/1987,17/09/1987,01/02/1988,,1
Cattenom-3,17W100P100P0104X,CATTENOM,3,P'4,3817,1362,1300,15/06/1982,16/02/1990,06/07/1990,01/02/1991,,1
Cattenom-4,17W100P100P0105V,CATTENOM,4,P'4,3817,1362,1300,28/09/1983,04/05/1991,27/05/1991,01/01/1992,,1
Chinon-B1,17W100P100P0106T,CHINON,1,CP2,2785,954,905,01/03/1977,28/10/1982,30/11/1982,01/02/1984,21/07/1998,1
Chinon-B2,17W100P100P0107R,CHINON,2,CP2,2785,954,905,01/03/1977,23/09/1983,29/11/1983,01/08/1984,21/07/1998,1
Chinon-B3,17W100P100P0108P,CHINON,3,CP2,2785,954,905,01/10/1980,18/09/1986,20/10/1986,04/03/1987,21/07/1998,1
Chinon-B4,17W100P100P0109N,CHINON,4,CP2,2785,954,905,01/02/1981,13/10/1987,14/11/1987,01/04/1988,21/07/1998,1
Chooz-B1,17W100P100P01101,CHOOZ,1,N4,4270,1560,1500,01/01/1984,25/07/1996,30/08/1996,15/05/2000,,1
Chooz-B2,17W100P100P0112Y,CHOOZ,2,N4,4270,1560,1500,31/12/1985,10/03/1997,10/04/1997,29/09/2000,,1
Civaux-1,17W100P100P0113W,CIVAUX,1,N4,4270,1561,1495,15/10/1988,29/11/1997,24/12/1997,29/01/2002,,1
Civaux-2,17W100P100P0114U,CIVAUX,2,N4,4270,1561,1495,01/04/1991,27/11/1999,24/12/1999,23/04/2002,,1
Cruas-1,17W100P100P0115S,CRUAS,1,CP2,2785,956,915,01/08/1978,02/04/1983,29/04/1983,02/04/1984,,1
Cruas-3,17W100P100P0118M,CRUAS,3,CP2,2785,956,915,15/11/1978,01/08/1984,06/09/1984,01/04/1985,,1
Cruas-2,17W100P100P0116Q,CRUAS,2,CP2,2785,956,915,15/04/1979,09/04/1984,14/05/1984,10/09/1984,,1
Cruas-4,17W100P100P0119K,CRUAS,4,CP2,2785,956,915,01/10/1979,01/10/1984,27/10/1984,11/02/1985,,1
Dampierre-1,17W100P100P0120Z,DAMPIERRE,1,CP1,2785,937,890,01/02/1975,15/03/1980,23/03/1980,10/09/1980,24/10/1996,1
Dampierre-2,17W100P100P0121X,DAMPIERRE,2,CP1,2785,937,890,01/04/1975,05/12/1980,10/12/1980,16/02/1981,24/10/1996,1
Dampierre-3,17W100P100P0122V,DAMPIERRE,3,CP1,2785,937,890,01/09/1975,25/01/1981,30/01/1981,27/05/1981,24/10/1996,1
Dampierre-4,17W100P100P0123T,DAMPIERRE,4,CP1,2785,937,890,01/12/1975,05/08/1981,18/08/1981,20/11/1981,24/10/1996,1
Fessenheim-1,17W100P100P0124R,FESSENHEIM,1,CP0,2785,920,880,01/09/1971,07/03/1977,06/04/1977,01/01/1978,,0
Fessenheim-2,17W100P100P0125P,FESSENHEIM,2,CP0,2785,920,880,01/02/1972,27/06/1977,07/10/1977,01/04/1978,,0
Flamanville-1,17W100P100P0126N,FLAMANVILLE,1,P4,3817,1382,1330,01/12/1979,29/09/1985,04/12/1985,01/12/1986,,0
Flamanville-2,17W100P100P0127L,FLAMANVILLE,2,P4,3817,1382,1330,01/05/1980,12/06/1986,18/07/1986,09/03/1987,,0
Golfech-1,17W100P100P0128J,GOLFECH,1,P'4,3817,1363,1310,17/11/1982,24/04/1990,07/06/1990,01/02/1991,,1
Golfech-2,17W100P100P0129H,GOLFECH,2,P'4,3817,1363,1310,01/10/1984,21/05/1993,18/06/1993,04/03/1994,,1
Gravelines-1,17W100P100P0130W,GRAVELINES,1,CP1,2785,951,910,01/02/1975,21/02/1980,13/03/1980,25/11/1980,18/12/1981,0
Gravelines-2,17W100P100P0131U,GRAVELINES,2,CP1,2785,951,910,01/03/1975,02/08/1980,26/08/1980,01/12/1980,18/12/1981,0
Gravelines-3,17W100P100P0132S,GRAVELINES,3,CP1,2785,951,910,01/12/1975,30/11/1980,12/12/1980,01/06/1981,18/12/1981,0
Gravelines-4,17W100P100P0133Q,GRAVELINES,4,CP1,2785,951,910,01/04/1976,31/05/1981,14/06/1981,01/10/1981,18/12/1981,0
Gravelines-5,17W100P100P0135M,GRAVELINES,5,CP1,2785,951,910,01/10/1979,05/08/1984,28/08/1984,15/01/1985,02/11/2007,0
Gravelines-6,17W100P100P0136K,GRAVELINES,6,CP1,2785,951,910,01/10/1979,21/07/1985,01/08/1985,25/10/1985,02/11/2007,0
Nogent-1,17W100P100P0137I,NOGENT,1,P'4,3817,1363,1310,26/05/1981,12/09/1987,21/10/1987,24/02/1988,,1
Nogent-2,17W100P100P0138G,NOGENT,2,P'4,3817,1363,1310,01/01/1982,04/10/1988,14/12/1988,01/05/1989,,1
Paluel-1,17W100P100P0139E,PALUEL,1,P4,3817,1382,1300,15/08/1977,13/05/1984,22/06/1984,01/12/1985,,0
Paluel-2,17W100P100P0140T,PALUEL,2,P4,3817,1382,1300,01/01/1978,11/08/1984,14/09/1984,01/12/1985,,0
Paluel-3,17W100P100P0141R,PALUEL,3,P4,3817,1382,1300,01/02/1979,07/08/1985,30/09/1985,01/02/1986,,0
Paluel-4,17W100P100P0142P,PALUEL,4,P4,3817,1382,1300,01/02/1980,29/03/1986,11/04/1986,01/06/1986,,0
Penly-1,17W100P100P0143N,PENLY,1,P'4,3817,1382,1330,01/09/1982,01/04/1990,04/05/1990,01/12/1990,,0
Penly-2,17W100P100P0144L,PENLY,2,P'4,3817,1382,1330,01/08/1984,10/01/1992,04/02/1992,01/11/1992,,0
St-Alban-1,17W100P100P0145J,ST_ALBAN,1,P4,3817,1381,1335,29/01/1979,04/08/1985,30/08/1985,01/05/1986,,0
St-Alban-2,17W100P100P0146H,ST_ALBAN,2,P4,3817,1381,1335,31/07/1979,07/06/1986,03/07/1986,01/03/1987,,0
St-Laurent-B1,17W100P100P0147F,ST_LAURENT,1,CP2,2785,956,915,01/05/1976,04/01/1981,21/01/1981,01/08/1983,12/10/1987,1
St-Laurent-B2,17W100P100P0148D,ST_LAURENT,2,CP2,2785,956,915,01/07/1976,12/05/1981,01/06/1981,01/08/1983,05/08/1988,1
