eicCode,plantId,reactorIndex,name,stage,power_MW,buildStartYear,gridLinkYear,exploitationStartYear
17W100P100P0090I,BELLEVILLE,1,Belleville-1,P'4,1310,1980,1987,1988
17W100P100P0091G,BELLEVILLE,2,Belleville-2,P'4,1310,1980,1988,1989
17W100P100P0092E,BLAYAIS,1,Blayais-1,CP1,910,1977,1981,1981
17W100P100P0093C,BLAYAIS,2,Blayais-2,CP1,910,1977,1982,1983
17W100P100P0094A,BLAYAIS,3,Blayais-3,CP1,910,1978,1983,1983
17W100P100P00958,BLAYAIS,4,Blayais-4,CP1,910,1978,1983,1983
17W100P100P00966,BUGEY,2,Bugey-2,CP0,910,1972,1978,1979
17W100P100P00974,BUGEY,3,Bugey-3,CP0,910,1973,1978,1979
17W100P100P00982,BUGEY,4,Bugey-4,CP0,880,1974,1979,1979
17W100P100P01004,BUGEY,5,Bugey-5,CP0,880,1974,1979,1980
17W100P100P01012,CATTENOM,1,Cattenom-1,P'4,1300,1979,1986,1987
17W100P100P0103Z,CATTENOM,2,Cattenom-2,P'4,1300,1980,1987,1988
17W100P100P0104X,CATTENOM,3,Cattenom-3,P'4,1300,1982,1990,1991
17W100P100P0105V,CATTENOM,4,Cattenom-4,P'4,1300,1983,1991,1992
17W100P100P0106T,CHINON,1,Chinon-B1,CP2,905,1977,1982,1984
17W100P100P0107R,CHINON,2,Chinon-B2,CP2,905,1977,1983,1984
17W100P100P0108P,CHINON,3,Chinon-B3,CP2,905,1980,1986,1987
17W100P100P0109N,CHINON,4,Chinon-B4,CP2,905,1981,1987,1988
17W100P100P01101,CHOOZ,1,Chooz-B1,N4,1500,1984,1996,2000
17W100P100P0112Y,CHOOZ,2,Chooz-B2,N4,1500,1985,1997,2000
17W100P100P0113W,CIVAUX,1,Civaux-1,N4,1495,1988,1997,2002
17W100P100P0114U,CIVAUX,2,Civaux-2,N4,1495,1991,1999,2002
17W100P100P0115S,CRUAS,1,Cruas-1,CP2,915,1978,1983,1984
17W100P100P0118M,CRUAS,3,Cruas-3,CP2,915,1979,1984,1984
17W100P100P0116Q,CRUAS,2,Cruas-2,CP2,915,1978,1984,1985
17W100P100P0119K,CRUAS,4,Cruas-4,CP2,915,1979,1984,1985
17W100P100P0120Z,DAMPIERRE,1,Dampierre-1,CP1,890,1975,1980,1980
17W100P100P0121X,DAMPIERRE,2,Dampierre-2,CP1,890,1975,1980,1981
17W100P100P0122V,DAMPIERRE,3,Dampierre-3,CP1,890,1975,1981,1981
17W100P100P0123T,DAMPIERRE,4,Dampierre-4,CP1,890,1975,1981,1981
17W100P100P0124R,FESSENHEIM,1,Fessenheim-1,CP0,880,1971,1977,1978
17W100P100P0125P,FESSENHEIM,2,Fessenheim-2,CP0,880,1972,1977,1978
17W100P100P0126N,FLAMANVILLE,1,Flamanville-1,P4,1330,1979,1985,1986
17W100P100P0127L,FLAMANVILLE,2,Flamanville-2,P4,1330,1980,1986,1987
17W100P100P0128J,GOLFECH,1,Golfech-1,P'4,1310,1982,1990,1991
17W100P100P0129H,GOLFECH,2,Golfech-2,P'4,1310,1984,1993,1994
17W100P100P0130W,GRAVELINES,1,Gravelines-1,CP1,910,1975,1980,1980
17W100P100P0131U,GRAVELINES,2,Gravelines-2,CP1,910,1975,1980,1980
17W100P100P0132S,GRAVELINES,3,Gravelines-3,CP1,910,1975,1980,1981
17W100P100P0133Q,GRAVELINES,4,Gravelines-4,CP1,910,1976,1981,1981
17W100P100P0135M,GRAVELINES,5,Gravelines-5,CP1,910,1979,1984,1985
17W100P100P0136K,GRAVELINES,6,Gravelines-6,CP1,910,1979,1985,1985
17W100P100P0137I,NOGENT,1,Nogent-1,P'4,1310,1981,1987,1988
17W100P100P0138G,NOGENT,2,Nogent-2,P'4,1310,1982,1988,1989
17W100P100P0139E,PALUEL,1,Paluel-1,P4,1300,1977,1984,1985
17W100P100P0140T,PALUEL,2,Paluel-2,P4,1300,1978,1984,1985
17W100P100P0141R,PALUEL,3,Paluel-3,P4,1300,1979,1985,1986
17W100P100P0142P,PALUEL,4,Paluel-4,P4,1300,1980,1986,1986
17W100P100P0143N,PENLY,1,Penly-1,P'4,1330,1982,1990,1990
17W100P100P0144L,PENLY,2,Penly-2,P'4,1330,1984,1992,1992
17W100P100P0145J,ST_ALBAN,1,St-Alban-1,P4,1335,1979,1985,1986
17W100P100P0146H,ST_ALBAN,2,St-Alban-2,P4,1335,1979,1986,1987
17W100P100P0147F,ST_LAURENT,1,St-Laurent-B1,CP2,915,1976,1981,1983
17W100P100P0148D,ST_LAURENT,2,St-Laurent-B2,CP2,915,1976,1981,1983
17W100P100P0149B,TRICASTIN,1,Tricastin-1,CP1,915,1974,1980,1980
17W100P100P0150Q,TRICASTIN,2,Tricastin-2,CP1,915,1974,1980,1980
17W100P100P0152M,TRICASTIN,3,Tricastin-3,CP1,915,1975,1981,1981
17W100P100P0153K,TRICASTIN,4,Tricastin-4,CP1,915,1975,1981,1981
